"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 23 00:47:15 EET 2023","Mon Jan 23 00:47:15 EET 2023","1","","Api examples","","Api examples","User Login succesful","User Login succesful",""
"passed","Mon Jan 23 00:47:15 EET 2023","Mon Jan 23 00:47:15 EET 2023","8","","Api examples","","Api examples","should Verify status codes 200","should Verify status codes 200",""
"passed","Mon Jan 23 00:47:15 EET 2023","Mon Jan 23 00:47:15 EET 2023","8","","Api examples","","Api examples","should get different joke every request","should get different joke every request",""
"passed","Mon Jan 23 00:47:15 EET 2023","Mon Jan 23 00:47:15 EET 2023","4","","Api examples","","Api examples","User Login data check request","User Login data check request",""
